Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Conocimientos previos,"¿Has hecho el ""curso 0"" impartido por uno de los profesores sobre desarrollo basado en test?",No he asistido al curso 0 sobre desarrollo basado en test por... 
22/09/2020 12:25:32,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Me gusta que se trate el tema de git, que no he visto en ninguna asignatura como tal. Y después el tema de la virtualización me interesa bastante y me puede ser útil para un proyecto que estoy empezando. Sobre todo, esto es lo que me ha llevado a que está fuera mi primera opción a la hora de elegir asignaturas para este año.","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Python",No,No he tenido conocimiento del mismo
22/09/2020 14:37:52,"Profesor, Horario, Amigos o conocidos la han elegido, Temática",Usar git y programar de forma más autónoma,"Javascript/Node/TypeScript/Deno, Python",No,No he tenido conocimiento del mismo
22/09/2020 14:38:27,"Profesor, Horario, Amigos o conocidos la han elegido, Temática",Usar git y programar de forma más autónoma,"Javascript/Node/TypeScript/Deno, Python",No,No he tenido conocimiento del mismo
22/09/2020 18:27:18,"Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",Familiarizarme con devops y tener la posibilidad de desplegar las aplicaciones que desarrolle,"git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Uso de recursos en nube: Heroku u Openshift, Azure, Python, Ruby, Microservicios/microframeworks REST, Herramientas de integración continua",Sí,
22/09/2020 18:41:13,"Profesor, Amigos o conocidos la han elegido, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",Creo que puedo tener una experiencia más cercana a la vida laboral que con otras asignaturas del grado,"git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Uso de recursos en nube: Heroku u Openshift, Azure, Python, Ruby",Sí,
22/09/2020 18:45:50,"No la he elegido, es obligatoria, Temática",DevOps,"git y github, Javascript/Node/TypeScript/Deno",No,No he tenido conocimiento del mismo
22/09/2020 19:02:58,"Profesor, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Quiero aprender algo sobre el tema de la asignatura porque actualmente no tengo conceptos,"Python, Ruby",No,No he tenido conocimiento del mismo
22/09/2020 19:45:42,Temática,Tengo muy poca idea de la asignatura,Ruby,No,No he tenido conocimiento del mismo
22/09/2020 20:49:08,"No la he elegido, es obligatoria",Ver la estructura virtual de una organización ,"git y github, Javascript/Node/TypeScript/Deno, Python, Ruby",No,No me he enterado de que había un curso 
23/09/2020 11:02:33,Utilidad para el resto de las asignaturas o mi trabajo,"Espero aprender conceptos y variedad de herramientas que me ayuden y me faciliten las cosas para otras asignaturas, proyectos, trabajo, etc","Python, Ruby",No,No he tenido conocimiento del mismo
23/09/2020 11:34:59,Amigos o conocidos la han elegido,Espero acabar la asignatura con unos buenos conocimientos de virtualización,"git y github, Python, Ruby",No,No he tenido conocimiento del mismo
23/09/2020 11:52:33,"No la he elegido, es obligatoria, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",Despliegue y uso de contenedores,"git y github, Desarrollo basado en test, Python",Sí,
23/09/2020 17:19:12,"Temática, Utilidad para el resto de las asignaturas o mi trabajo, Es probablemente la asignatura con contenidos más actuales y similares a lo que se puede encontrar en el ámbito profesional","TDD, uso de recursos en la nube.","git y github, Javascript/Node/TypeScript/Deno",No,No he tenido tiempo todavía
23/09/2020 17:47:33,"No la he elegido, es obligatoria",Aún no lo sé,"Javascript/Node/TypeScript/Deno, Ruby",No,"Aún no he tenido tiempo, pero lo haré"
23/09/2020 20:30:46,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Técnicas de virtualización y despliegue en la nube,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku u Openshift, Azure, Ruby",No,No he tenido conocimiento del mismo
24/09/2020 14:05:54,"No la he elegido, es obligatoria, Profesor, Amigos o conocidos la han elegido, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",Aprender a desarrollar mi propia aplicación en una infraestructura virtual,"git y github, Ruby",No,No he tenido conocimiento del mismo
27/09/2020 13:49:14,Temática,Aprender sobre servidores y aplicaciones/servicios en los mismos,"Python, Ruby",No,No he tenido conocimiento del mismo
27/09/2020 18:48:40,Temática,"Espero conocer herramientas, metodologias y servicios que me ayuden a organizar mejor todos mis proyectos","git y github, Ruby",No,No he tenido conocimiento del mismo
27/09/2020 19:06:25,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido","Algunos compañeros comentaron que esta es la mejor asignatura de la carrera, no estoy seguro de que se aprende en ella pero espero que sean útiles.",git y github,No,"Demasiado extenso, He asistido a las primeras sesiones, pero por problemas personales tuve que dejarlo."
29/09/2020 9:35:45,"No la he elegido, es obligatoria, Temática, Utilidad para el resto de las asignaturas o mi trabajo","No tengo mucho conocimiento de la asignatura, por eso creo que aprendere bastante y además trabajar en la nube es muy útil ","Desarrollo basado en test, Javascript/Node/TypeScript/Deno, Ruby",Sí,
29/09/2020 9:39:29,"Horario, Exclusión de otras., Utilidad para el resto de las asignaturas o mi trabajo","Me comentaron que es una asignatura bastante libre y que esto tiene por un lado ventajas pero también inconvenientes ya que debemos ""buscarnos la vida""
Aprender sobre aplicaciones nativas cloud, aprender nuevos lenguajes de programación , aprender lo básico sobre contenedores, etc.",Ruby,No,No he tenido conocimiento del mismo
29/09/2020 11:44:23,Es de mi rama,GitHub,"Javascript/Node/TypeScript/Deno, Ruby, Herramientas de integración continua",No,No me he enterado de que había 
29/09/2020 11:46:43,"No la he elegido, es obligatoria","En general, lo relacionado con DevOps y herramientas de este ámbito, así como algún lenguaje de programación nuevo","git y github, Ruby",No,No he tenido conocimiento del mismo
1/10/2020 4:37:16,"Profesor, Amigos o conocidos la han elegido, Temática, Utilidad para el resto de las asignaturas o mi trabajo","Espero aprender la creación de un microservicio, el uso de dockers, así como retarme a mi mismo a aprender un nuevo lenguaje de programación y el uso de git, el cuál desconocía hasta ahora.","Desarrollo basado en test, Ruby",No,No he tenido conocimiento del mismo
